,elapsed,player1,team,id
1,10,34035,9931,5632899
2,31,402975,9931,5633004
3,44,402975,9931,5633050
4,80,25860,10192,5633185
5,90,37554,10192,5633219
6,6,178119,10199,5632882
7,49,304860,10199,5633081
8,56,34082,10199,5633109
9,65,278917,10190,5633133
10,70,95257,10199,5633155
11,41,181211,9931,5639966
12,4,340790,7896,5639935
13,11,178142,7896,5639941
14,75,614454,7896,5640019
15,35,38601,10179,5639961
16,60,38601,10179,5639998
17,69,67349,10179,5640012
18,90,34082,10199,5640044
19,19,25843,10192,5639949
20,58,245161,10192,5640001
21,71,37554,10192,5640015
